year,state_fips,DEMOCRAT,REPUBLICAN
1984,23,0.3878104074165136,0.6083406852465181
1984,24,0.4701639086016661,0.5250505259050059
1984,25,0.4843378267340214,0.5122078250890938
1984,26,0.4023607594370667,0.5922602717025045
1984,27,0.49718846563288427,0.49538415187898577
1984,28,0.3742328159268264,0.6188232118873154
1984,29,0.39975249332122964,0.6002475066787704
1984,30,0.381765818454278,0.6047448208399566
1984,31,0.28809826864389887,0.7055069085555675
1984,32,0.32419345140193195,0.6676995016217631
1984,33,0.30945168987719335,0.6866733178367926
1984,34,0.3919754793710855,0.6009051973018109
1984,35,0.392264323347007,0.5970429846219647
1984,36,0.4409238688901262,0.49605013214707033
1984,37,0.37891963678672186,0.6189689895148437
1984,38,0.33798964951403204,0.6483974224118121
1984,39,0.40003199484576185,0.5869868634861014
1984,40,0.30667146620625063,0.6861085184394701
