id,imdb_id,season,episode,title,imdb_rating,num_votes,year,runtime,airdate,us_viewers
150,tt0701208,7,9,Sideshow Bob's Last Gleaming,8.0,2860,1995,30,1995-11-26,14.2
151,tt0701261,7,10,The Simpsons 138th Episode Spectacular!,7.4,2783,1995,30,1995-12-03,16.4
152,tt0701168,7,11,Marge Be Not Proud,8.5,3711,1995,30,1995-12-17,16.7
153,tt0779675,7,12,Team Homer,8.3,2927,1996,30,1996-01-07,16.7
154,tt0779680,7,13,Two Bad Neighbors,8.5,3694,1996,30,1996-01-14,16.5
155,tt0779674,7,14,Scenes from the Class Struggle in Springfield,7.7,2677,1996,30,1996-02-04,14.4
156,tt0701058,7,15,Bart the Fink,7.6,2631,1996,30,1996-02-11,15.0
157,tt0701155,7,16,Lisa the Iconoclast,8.1,2885,1996,30,1996-02-18,13.4
158,tt0779667,7,17,Homer the Smithers,8.8,4056,1996,30,1996-02-25,14.1
159,tt0701234,7,18,The Day the Violence Died,8.0,2821,1996,30,1996-03-17,14.4
160,tt0701043,7,19,A Fish Called Selma,8.2,3285,1996,30,1996-03-24,12.9
161,tt0701057,7,20,Bart on the Road,8.6,3610,1996,30,1996-03-31,11.8
162,tt0701186,7,21,22 Short Films About Springfield,8.9,4068,1996,22,1996-04-14,10.5
163,tt0778451,7,22,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',8.5,3057,1996,30,1996-04-28,13.0
164,tt0774432,7,23,Much Apu About Nothing,8.1,2740,1996,30,1996-05-05,11.3
165,tt0701127,7,24,Homerpalooza,7.9,2860,1996,30,1996-05-19,12.9
166,tt0701219,7,25,"Summer of 4'2""",8.5,3105,1996,30,1996-05-19,14.7
167,tt0779678,8,1,Treehouse of Horror VII,8.5,3443,1996,30,1996-10-27,18.3
168,tt0779678,8,1,Treehouse of Horror VII,8.5,3443,1996,30,1996-10-27,18.3
169,tt0779678,8,1,Treehouse of Horror VII,8.5,3443,1996,30,1996-10-27,18.3
170,tt0701298,8,2,You Only Move Twice,9.2,6303,1996,23,1996-11-03,13.9
171,tt0701243,8,3,The Homer They Fall,8.1,2948,1996,30,1996-11-10,17.0
172,tt0701078,8,4,"Burns, Baby Burns",7.6,2858,1996,30,1996-11-17,12.6
173,tt0763023,8,5,Bart After Dark,8.3,3050,1996,30,1996-11-24,14.1
174,tt0779664,8,6,A Milhouse Divided,8.1,2849,1996,30,1996-12-01,12.8
175,tt0779669,8,7,Lisa's Date with Density,7.8,2763,1996,30,1996-12-15,12.2
176,tt0701131,8,8,Hurricane Neddy,8.7,3824,1996,30,1996-12-29,14.36
177,tt0701094,8,9,The Mysterious Voyage of Our Homer,8.6,3815,1997,30,1997-01-05,14.85
178,tt0701263,8,10,The Springfield Files,9.1,4679,1997,22,1997-01-12,20.41
179,tt0701266,8,11,The Twisted World of Marge Simpson,7.7,2697,1997,30,1997-01-19,13.98
180,tt0779671,8,12,Mountain of Madness,8.5,3483,1997,30,1997-02-02,17.49
181,tt0757021,8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,7.6,2993,1997,30,1997-02-07,9.1
182,tt0701245,8,14,The Itchy & Scratchy & Poochie Show,7.9,2938,1997,30,1997-02-09,15.67
183,tt0701126,8,15,Homer's Phobia,8.8,4310,1997,23,1997-02-16,15.26
184,tt0701227,8,16,Brother from Another Series,8.2,2976,1997,30,1997-02-23,15.07
185,tt0779672,8,17,"My Sister, My Sitter",7.8,3078,1997,30,1997-03-02,15.1
186,tt0701120,8,18,Homer vs. the 18th Amendment,8.8,3579,1997,30,1997-03-16,14.6
187,tt0779666,8,19,Grade School Confidential,8.2,3105,1997,30,1997-04-06,13.27
188,tt0701229,8,20,The Canine Mutiny,7.6,2523,1997,30,1997-04-13,13.25
189,tt0701253,8,21,The Old Man and the Lisa,7.8,2662,1997,30,1997-04-20,13.97
190,tt0701136,8,22,In Marge We Trust,8.1,2764,1997,30,1997-04-27,16.93
191,tt0701122,8,23,Homer's Enemy,9.3,6729,1997,30,1997-05-04,11.8
192,tt0701262,8,24,The Simpsons Spin-Off Showcase,7.1,2657,1997,30,1997-05-11,11.57
193,tt0701262,8,24,The Simpsons Spin-Off Showcase,7.1,2657,1997,30,1997-05-11,11.57
194,tt0701262,8,24,The Simpsons Spin-Off Showcase,7.1,2657,1997,30,1997-05-11,11.57
195,tt0701259,8,25,The Secret War of Lisa Simpson,7.8,2626,1997,30,1997-05-18,12.69
196,tt0701230,9,1,The City of New York vs. Homer Simpson,9.0,4990,1997,30,1997-09-21,17.44
197,tt0701257,9,2,The Principal and the Pauper,6.9,3556,1997,30,1997-09-28,14.86
198,tt0701163,9,3,Lisa's Sax,8.1,2624,1997,30,1997-10-19,12.85
199,tt0779679,9,4,Treehouse of Horror VIII,8.2,2884,1997,30,1997-10-26,19.03
200,tt0779679,9,4,Treehouse of Horror VIII,8.2,2884,1997,30,1997-10-26,19.03
201,tt0779679,9,4,Treehouse of Horror VIII,8.2,2884,1997,30,1997-10-26,19.03
202,tt0763039,9,5,The Cartridge Family,8.2,2877,1997,30,1997-11-02,18.03
203,tt0701056,9,6,Bart Star,7.7,2437,1997,30,1997-11-09,17.91
204,tt0701267,9,7,The Two Mrs. Nahasapeemapetilons,7.6,2367,1997,30,1997-11-16,19.8
205,tt0701156,9,8,Lisa the Skeptic,8.1,2613,1997,30,1997-11-23,16.01
206,tt0779673,9,9,Realty Bites,7.6,2369,1997,30,1997-12-07,17.73
207,tt0701176,9,10,Miracle on Evergreen Terrace,7.6,2626,1997,30,1997-12-21,16.17
208,tt0701050,9,11,"All Singing, All Dancing",5.0,2723,1998,30,1998-01-04,15.9
209,tt0701054,9,12,Bart Carny,7.6,2444,1998,30,1998-01-11,19.21
210,tt0779676,9,13,The Joy of Sect,8.3,2747,1998,30,1998-02-08,16.2
211,tt0701085,9,14,Das Bus,8.2,2685,1998,30,1998-02-15,15.98
212,tt0701247,9,15,The Last Temptation of Krust,7.4,2293,1998,30,1998-02-22,16.5
213,tt0701091,9,16,Dumbbell Indemnity,7.6,2330,1998,30,1998-03-01,17.35
214,tt0779668,9,17,Lisa the Simpson,8.0,2599,1998,30,1998-03-08,17.79
215,tt0779677,9,18,This Little Wiggy,7.8,2416,1998,30,1998-03-22,14.96
216,tt0701210,9,19,Simpson Tide,8.1,2925,1998,30,1998-03-29,14.77
217,tt0701265,9,20,The Trouble with Trillions,7.8,2736,1998,30,1998-04-05,11.39
218,tt0779665,9,21,Girly Edition,7.8,2357,1998,30,1998-04-19,13.46
219,tt0701277,9,22,Trash of the Titans,8.4,3162,1998,30,1998-04-26,17.35
220,tt0701145,9,23,King of the Hill,8.2,2825,1998,30,1998-05-03,14.8
221,tt0779670,9,24,Lost Our Lisa,7.7,2284,1998,30,1998-05-10,12.86
222,tt0763037,9,25,Natural Born Kissers,8.0,2456,1998,22,1998-05-17,14.12
223,tt0701149,10,1,Lard of the Dance,7.6,2457,1998,30,1998-08-23,11.84
224,tt0701270,10,2,The Wizard of Evergreen Terrace,8.1,2899,1998,30,1998-09-20,13.9
225,tt0781977,10,3,Bart the Mother,7.5,2358,1998,23,1998-09-27,11.94
226,tt0701280,10,4,Treehouse of Horror IX,8.0,2792,1998,30,1998-10-25,15.12
227,tt0701280,10,4,Treehouse of Horror IX,8.0,2792,1998,30,1998-10-25,15.12
228,tt0701280,10,4,Treehouse of Horror IX,8.0,2792,1998,30,1998-10-25,15.12
229,tt0701293,10,5,When You Dish Upon a Star,7.2,2332,1998,30,1998-11-08,15.34
230,tt0701083,10,6,D'oh-in' in the Wind,7.5,2303,1998,30,1998-11-15,13.94
231,tt0769412,10,7,Lisa Gets an 'A',8.1,2432,1998,30,1998-11-22,13.61
232,tt0769411,10,8,Homer Simpson in: 'Kidney Trouble',7.2,2245,1998,30,1998-12-06,12.38
233,tt0701174,10,9,Mayored to the Mob,8.1,2838,1998,30,1998-12-20,13.9
234,tt0701290,10,10,Viva Ned Flanders,7.8,2406,1999,30,1999-01-10,19.68
235,tt0701296,10,11,Wild Barts Can't Be Broken,7.7,2282,1999,30,1999-01-17,15.21
236,tt0701220,10,12,"Sunday, Cruddy Sunday",7.0,2351,1999,30,1999-01-31,19.11
237,tt0701118,10,13,Homer to the Max,7.7,2326,1999,30,1999-02-07,13.98
238,tt0701135,10,14,I'm with Cupid,7.3,2126,1999,30,1999-02-14,12.35
239,tt0701170,10,15,Marge Simpson in: 'Screaming Yellow Honkers',7.3,2134,1999,30,1999-02-21,14.64
240,tt0781978,10,16,Make Room for Lisa,7.5,2117,1999,30,1999-02-28,12.4
